"term"	"artist_id"
"hip hop"	"AR009211187B989185"
"electronic"	"AR009211187B989185"
"pop"	"AR009211187B989185"
"rock"	"AR009211187B989185"
"rock"	"AR00A6H1187FB5402A"
"electronic"	"AR00LNI1187FB444A5"
"jazz"	"AR00MBZ1187B9B5DB1"
"rock"	"AR00MBZ1187B9B5DB1"
"alternative rock"	"AR01IP11187B9AF5D2"
"rock"	"AR01VU31187B997DA0"
"jazz"	"AR01VU31187B997DA0"
"electronic"	"AR01VU31187B997DA0"
"pop"	"AR01VU31187B997DA0"
"alternative rock"	"AR01W2D1187FB5912F"
"rock"	"AR01W2D1187FB5912F"
"pop"	"AR01W2D1187FB5912F"
"electronic"	"AR01W2D1187FB5912F"
"electronic"	"AR022JO1187B99587B"
"rock"	"AR022JO1187B99587B"
"hip hop"	"AR022JO1187B99587B"
"pop"	"AR022JO1187B99587B"
"rock"	"AR02DB61187B9A0B5E"
"pop"	"AR02DB61187B9A0B5E"
"jazz"	"AR02IU11187FB513F2"
"pop"	"AR02IU11187FB513F2"
"electronic"	"AR02KZG1187FB3B3B4"
"electronic"	"AR02PUA1187FB52574"
"rock"	"AR02PUA1187FB52574"
"alternative rock"	"AR02YGA1187B9B8AC4"
"hip hop"	"AR02YGA1187B9B8AC4"
"rock"	"AR02YGA1187B9B8AC4"
"electronic"	"AR02YGA1187B9B8AC4"
"pop"	"AR02YGA1187B9B8AC4"
"rock"	"AR035N21187FB3938E"
"electronic"	"AR035N21187FB3938E"
"rock"	"AR039B11187B9B30D0"
"jazz"	"AR039B11187B9B30D0"
"pop"	"AR039B11187B9B30D0"
"pop"	"AR03BDP1187FB5B324"
"hip hop"	"AR03BDP1187FB5B324"
"rock"	"AR03BDP1187FB5B324"
"electronic"	"AR03BDP1187FB5B324"
"jazz"	"AR03GWG1187B9B6C85"
"pop"	"AR03GWG1187B9B6C85"
"electronic"	"AR03GWG1187B9B6C85"
"rock"	"AR03GWG1187B9B6C85"
"hip hop"	"AR040M31187B98CA41"
"electronic"	"AR040M31187B98CA41"
"rock"	"AR040QX1187FB4CFE1"
"pop"	"AR040QX1187FB4CFE1"
"rock"	"AR048JZ1187B9AEB85"
"pop"	"AR048JZ1187B9AEB85"
"hip hop"	"AR04KTB1187B99B6B7"
"electronic"	"AR04KTB1187B99B6B7"
"alternative rock"	"AR04KTB1187B99B6B7"
"rock"	"AR04KTB1187B99B6B7"
"pop"	"AR04KTB1187B99B6B7"
"rock"	"AR050VJ1187B9B13A7"
"pop"	"AR050VJ1187B9B13A7"
"hip hop"	"AR051KA1187B98B2FF"
"jazz"	"AR051KA1187B98B2FF"
"electronic"	"AR051KA1187B98B2FF"
"rock"	"AR0569B1187B9A4036"
"hip hop"	"AR0569B1187B9A4036"
"rock"	"AR059HI1187B9A14D7"
"pop"	"AR059HI1187B9A14D7"
"pop"	"AR05IU31187B9B9A1A"
"rock"	"AR05KQA1187B9963B3"
"alternative rock"	"AR05KQA1187B9963B3"
"electronic"	"AR05NQH1187B98E875"
"jazz"	"AR05NQH1187B98E875"
"pop"	"AR05NQH1187B98E875"
"hip hop"	"AR05NQH1187B98E875"
"rock"	"AR05NQH1187B98E875"
"hip hop"	"AR05OJD1187B9B99A6"
"rock"	"AR05OJD1187B9B99A6"
"electronic"	"AR05OJD1187B9B99A6"
"alternative rock"	"AR05VW21187FB407B4"
"rock"	"AR05VW21187FB407B4"
"electronic"	"AR05VW21187FB407B4"
"jazz"	"AR05XFO1187FB4DAE5"
"electronic"	"AR05XFO1187FB4DAE5"
"jazz"	"AR061J011A348F060F"
"rock"	"AR061J011A348F060F"
"pop"	"AR061J011A348F060F"
"alternative rock"	"AR061J011A348F060F"
"rock"	"AR0693R1187FB59D32"
"pop"	"AR0693R1187FB59D32"
"rock"	"AR06EB01187FB40150"
"pop"	"AR06EB01187FB40150"
"pop"	"AR06EHB1187FB42914"
"rock"	"AR06EHB1187FB42914"
"alternative rock"	"AR06IFV1187B9977EC"
"rock"	"AR06IFV1187B9977EC"
"pop"	"AR06IFV1187B9977EC"
"alternative rock"	"AR06M3F1187FB38BED"
"rock"	"AR06M3F1187FB38BED"
"electronic"	"AR06M3F1187FB38BED"
"jazz"	"AR06USW1187FB4EACA"
"rock"	"AR06USW1187FB4EACA"
"rock"	"AR07CRG1187FB594FA"
"rock"	"AR07HWO1187B9A2189"
"pop"	"AR07HWO1187B9A2189"
"alternative rock"	"AR07QYZ1187FB5BF78"
"rock"	"AR07QYZ1187FB5BF78"
"pop"	"AR07QYZ1187FB5BF78"
"rock"	"AR07VS41187FB37944"
"pop"	"AR07VS41187FB37944"
"hip hop"	"AR07VS41187FB37944"
"jazz"	"AR07VS41187FB37944"
"electronic"	"AR07VS41187FB37944"
"alternative rock"	"AR07VS41187FB37944"
"alternative rock"	"AR08DYV1187B99A0D7"
"rock"	"AR08DYV1187B99A0D7"
"rock"	"AR08GQF1187B98E316"
"rock"	"AR08NXW1187B99526D"
"electronic"	"AR08NXW1187B99526D"
"hip hop"	"AR08YJF1187B9B2D59"
"rock"	"AR08YJF1187B9B2D59"
"pop"	"AR08YJF1187B9B2D59"
"electronic"	"AR08YJF1187B9B2D59"
"jazz"	"AR0A30G1187B9B183B"
"rock"	"AR0A30G1187B9B183B"
"pop"	"AR0A30G1187B9B183B"
"hip hop"	"AR0A30G1187B9B183B"
"electronic"	"AR0A30G1187B9B183B"
"jazz"	"AR0AVIB1187FB37D01"
"pop"	"AR0AVIB1187FB37D01"
"rock"	"AR0AVIB1187FB37D01"
"jazz"	"AR0B1CH1187FB3A824"
"rock"	"AR0B1CH1187FB3A824"
"pop"	"AR0B1CH1187FB3A824"
"hip hop"	"AR0B3RS1187FB48F5D"
"rock"	"AR0B3RS1187FB48F5D"
"alternative rock"	"AR0B3RS1187FB48F5D"
"pop"	"AR0B3RS1187FB48F5D"
"electronic"	"AR0B3RS1187FB48F5D"
"electronic"	"AR0B5HI1187B9B9DB9"
"pop"	"AR0B6VD1187B99C293"
"rock"	"AR0B6VD1187B99C293"
"rock"	"AR0B9V01187FB55276"
"pop"	"AR0B9V01187FB55276"
"electronic"	"AR0BATO119B34038DB"
"rock"	"AR0BLA51187FB4E6CD"
"jazz"	"AR0BV7E1187FB386C1"
"rock"	"AR0BV7E1187FB386C1"
"pop"	"AR0BV7E1187FB386C1"
"hip hop"	"AR0CANF1187B9AF35F"
"jazz"	"AR0CANF1187B9AF35F"
"rock"	"AR0CANF1187B9AF35F"
"electronic"	"AR0CANF1187B9AF35F"
"jazz"	"AR0CDSK1187FB52ED6"
"rock"	"AR0CDSK1187FB52ED6"
"pop"	"AR0CDSK1187FB52ED6"
"electronic"	"AR0CWOB1187B99FA08"
"alternative rock"	"AR0CWOB1187B99FA08"
"rock"	"AR0CWOB1187B99FA08"
"pop"	"AR0CWOB1187B99FA08"
"rock"	"AR0CWSC1187B9AFE3F"
"pop"	"AR0CWSC1187B9AFE3F"
"pop"	"AR0CZWN1187B9A47E2"
"hip hop"	"AR0D6EL1187B9AF46B"
"rock"	"AR0D6EL1187B9AF46B"
"pop"	"AR0D6EL1187B9AF46B"
"pop"	"AR0DQEE1187B9A22DC"
"electronic"	"AR0DSOO1187B9B855E"
"hip hop"	"AR0DSOO1187B9B855E"
"rock"	"AR0DSOO1187B9B855E"
"pop"	"AR0DSOO1187B9B855E"
"jazz"	"AR0DTOH1187FB4B83A"
"electronic"	"AR0DTOH1187FB4B83A"
"electronic"	"AR0FGL21187FB56301"
"pop"	"AR0FQ071187B9ACEC0"
"jazz"	"AR0G47L1187B98CC6D"
"pop"	"AR0G47L1187B98CC6D"
"electronic"	"AR0GB821187B99FE96"
"rock"	"AR0GGKI1187FB391D5"
"alternative rock"	"AR0GGKI1187FB391D5"
"jazz"	"AR0GGKI1187FB391D5"
"pop"	"AR0GGKI1187FB391D5"
"electronic"	"AR0GGKI1187FB391D5"
"pop"	"AR0I2BV1187FB3D89F"
"alternative rock"	"AR0I2BV1187FB3D89F"
"jazz"	"AR0IAWL1187B9A96D0"
"electronic"	"AR0IAWL1187B9A96D0"
"rock"	"AR0ILWV1187FB47CAA"
"hip hop"	"AR0IVSA1187FB4F069"
"rock"	"AR0IVSA1187FB4F069"
"alternative rock"	"AR0J0OD1187FB3AFB5"
"rock"	"AR0J0OD1187FB3AFB5"
"hip hop"	"AR0J0OD1187FB3AFB5"
"electronic"	"AR0J0OD1187FB3AFB5"
"pop"	"AR0JEOI1187B98B918"
"rock"	"AR0JEOI1187B98B918"
"hip hop"	"AR0JPOG1187FB37383"
"rock"	"AR0JPOG1187FB37383"
"pop"	"AR0JPOG1187FB37383"
"hip hop"	"AR0JURX1187FB3C8FF"
"electronic"	"AR0JURX1187FB3C8FF"
"alternative rock"	"AR0JURX1187FB3C8FF"
"rock"	"AR0JURX1187FB3C8FF"
"pop"	"AR0JURX1187FB3C8FF"
"alternative rock"	"AR0JVUH1187B9918B5"
"alternative rock"	"AR0KBXO1187B996460"
"rock"	"AR0KBXO1187B996460"
"pop"	"AR0KBXO1187B996460"
"rock"	"AR0LCRP1187B9B4C5A"
"alternative rock"	"AR0LCRP1187B9B4C5A"
"rock"	"AR0LPDJ1187B9919F1"
"jazz"	"AR0LVFQ1187B9A84E0"
"electronic"	"AR0N0DX1187FB41327"
"hip hop"	"AR0N0DX1187FB41327"
"alternative rock"	"AR0N0DX1187FB41327"
"jazz"	"AR0N0DX1187FB41327"
"rock"	"AR0N0DX1187FB41327"
"pop"	"AR0N0DX1187FB41327"
"alternative rock"	"AR0N8D61187FB3D0D6"
"rock"	"AR0N8D61187FB3D0D6"
"jazz"	"AR0N8D61187FB3D0D6"
"hip hop"	"AR0N8D61187FB3D0D6"
"electronic"	"AR0N8D61187FB3D0D6"
